	AGE	POP	AAG	MAG	DOY	SUN	WTR
	0	1	0	0	0	34.3757	3.4376
	1	1	1	1	1	9.184	0.9184
	2	1	2	2	2	-6.1688	-0.949
	3	1	3	3	3	-17.5246	-2.6961
	4	1	4	4	4	-5.4088	-1.1387
	5	1	5	5	5	-16.8442	-3.5462
	6	1	6	6	6	13.3108	3.5975
	7	1	7	7	7	-8.199	-2.216
	8	1	8	8	8	-9.8196	-3.2732
	9	1	9	9	9	-17.8852	-5.9617
	10	1	10	10	10	-9.8367	-3.9347
	11	1	11	11	11	4.8391	1.9356
	12	1	12	12	12	-1.3551	-0.6377
	13	1	13	13	13	-6.007	-2.8268
	14	1	14	14	14	12.2626	6.6887
	15	1	15	15	15	11.6239	6.3403
	16	1	16	16	16	8.7528	5.4705
	17	1	17	17	17	-5.5626	-3.4767
	18	1	18	18	18	12.5424	8.9011
	19	1	19	19	19	7.7411	5.4937
	20	1	20	20	20	12.1523	9.7218
	21	1	21	21	21	10.1913	8.153
	22	1	22	22	22	-7.8092	-7.0014
	23	1	23	23	23	7.5816	6.7973
	24	1	24	24	24	5.6209	5.6209
	25	1	25	25	25	-8.8975	-8.8975
	26	1	26	26	26	7.2198	8.022
	27	1	27	27	27	-4.7609	-5.2899
	28	1	28	28	28	5.7075	7.0246
	29	1	29	29	29	6.8976	8.4894
	30	1	30	30	30	10.0774	13.7053
	31	1	31	31	31	-10.271	-13.9686
	32	1	32	32	32	-7.3256	-10.9883
	33	1	33	33	33	-1.2702	-1.9053
	34	1	34	34	34	7.0138	11.5881
	35	1	35	35	35	-8.6455	-14.2839
	36	1	36	36	36	-4.6897	-8.5268
	37	1	37	37	37	6.2368	11.3396
	38	1	38	38	38	-2.0887	-4.1775
	39	1	39	39	39	1.1141	2.2282
	40	1	40	40	40	-5.8501	-12.8702
	41	1	41	41	41	-4.1415	-9.1112
	42	1	42	42	42	-5.0797	-12.2981
	43	1	43	43	43	2.7076	6.5552
	44	1	44	44	44	8.9745	23.932
	45	1	45	45	45	2.2655	6.0414
	46	1	46	46	46	-4.369	-12.8501
	47	1	47	47	47	3.0192	8.88
	48	1	48	48	48	-6.2842	-20.4235
	49	1	49	49	49	-2.8828	-9.3692
	50	1	50	50	50	6.8687	20.2021
	51	2	26	51	51	-5.3435	-15.7161
	52	3	18	52	52	-3.6472	-9.7257
	53	4	14	53	53	-8.7502	-23.3339
	54	5	12	54	54	-0.218	-0.5278
	55	6	11	55	55	1.8735	4.5358
	56	7	11	56	56	-9.2321	-20.3106
	57	6	12	57	57	-9.1155	-20.0541
	58	4	14	58	58	5.9187	11.8374
	59	3	6	9	59	8.2016	16.4032
	60	3	7	8	60	-4.9434	-8.988
	61	3	8	9	61	5.9899	10.8908
	62	3	9	10	62	3.7041	6.1198
	63	3	10	11	63	6.4802	10.7064
	64	3	11	12	64	8.7733	13.16
	65	3	12	13	65	9.9637	14.9455
	66	3	13	14	66	1.3193	1.7943
	67	3	14	15	67	7.0081	9.531
	68	3	15	16	68	0.0128	0.0157
	69	3	16	17	69	-8.7188	-10.7309
